movie_actor,movie_country,movie_date,movie_director,movie_name_cn,movie_name_en,movie_rating,movie_type
,日本,1954,导演:黑泽明AkiraKurosawa,七武士, / 七人の侍,9.3,动作冒险剧情
,美国 英国 德国,2002,导演:ChrisColumbus,哈利·波特与密室, / Harry Potter and the Chamber of Secrets,8.7,奇幻冒险
,美国,2001,导演:杰茜·尼尔森JessieNelson,我是山姆, / I Am Sam,8.9,剧情家庭
,中国香港,1986,导演:吴宇森JohnWoo,英雄本色, / A Better Tomorrow  /  Gangland Boss,8.7,剧情动作犯罪
,美国 德国,2007,导演:保罗·格林格拉斯PaulGreengrass,谍影重重3, / The Bourne Ultimatum,8.8,动作悬疑惊悚
,美国,2018,导演:史蒂文·斯皮尔伯格StevenSpielberg,头号玩家, / Ready Player One,8.7,动作科幻冒险
,瑞典,2015,导演:汉内斯·赫尔姆HannesHolm,一个叫欧维的男人决定去死, / En man som heter Ove,8.8,剧情
,中国香港 中国大陆,2010,导演:罗启锐AlexLaw,岁月神偷, / 歲月神偷,8.7,剧情家庭
,美国 英国,2017,导演:马丁·麦克唐纳MartinMcDonagh,三块广告牌," / Three Billboards Outside Ebbing, Missouri",8.7,剧情犯罪
,中国香港,1991,导演:吴宇森JohnWoo,纵横四海, / 緃横四海,8.8,剧情喜剧动作犯罪
,美国,2013,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders,疯狂原始人, / The Croods,8.7,喜剧动画冒险
,美国,2013,导演:让-马克·瓦雷Jean-MarcVallée,达拉斯买家俱乐部, / Dallas Buyers Club,8.8,剧情传记同性
,中国大陆,2014,导演:忻钰坤YukunXin,心迷宫, / 殡棺  /  The Coffin in the Mountain,8.7,剧情犯罪悬疑
,美国,2000,导演:克里斯托弗·诺兰ChristopherNolan,记忆碎片, / Memento,8.6,犯罪剧情悬疑惊悚
,英国 南非 意大利,2004,导演:特瑞·乔治TerryGeorge,卢旺达饭店, / Hotel Rwanda,8.9,剧情传记历史战争
,中国香港,2000,导演:王家卫KarWaiWong,花样年华, / 花樣年華,8.7,剧情爱情
,日本,1997,导演:今敏SatoshiKon,未麻的部屋, / Perfect Blue,9.0,动画奇幻惊悚
,日本,2016,导演:新海诚MakotoShinkai,你的名字。, / 君の名は。,8.4,剧情爱情动画
,阿根廷 西班牙,2014,导演:达米安·斯兹弗隆DamiánSzifron,荒蛮故事, / Relatos salvajes,8.8,剧情喜剧犯罪
,美国 澳大利亚,2003,导演:AndyWachowski/LarryWachowski,黑客帝国3：矩阵革命, / The Matrix Revolutions,8.8,动作科幻
,日本,1988,导演:高畑勋IsaoTakahata,萤火虫之墓, / 火垂るの墓,8.7,动画剧情战争
,英国 美国,2014,导演:莫滕·泰杜姆MortenTyldum,模仿游戏, / The Imitation Game,8.7,剧情传记战争同性
,美国,2014,导演:达米恩·查泽雷DamienChazelle,爆裂鼓手, / Whiplash,8.7,剧情音乐
,英国,2008,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan,贫民窟的百万富翁, / Slumdog Millionaire,8.6,剧情爱情
,中国香港 中国台湾,1994,导演:王家卫KarWaiWong,东邪西毒, / 東邪西毒,8.6,剧情动作爱情武侠古装
,英国 美国 法国,2003,导演:理查德·柯蒂斯RichardCurtis,真爱至上, / Love Actually,8.6,喜剧剧情爱情
,日本,1987,导演:SeijirôKôyama,忠犬八公物语, / ハチ公物語,9.2,剧情
,韩国,2013,导演:朴勋政Hoon-jungPark,新世界, / 신세계,8.8,剧情犯罪
,美国,2010,导演:达伦·阿罗诺夫斯基DarrenAronofsky,黑天鹅, / Black Swan,8.6,剧情惊悚
,美国,2015,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen,头脑特工队, / Inside Out,8.7,喜剧动画冒险
,日本,2015,导演:是枝裕和HirokazuKoreeda,海街日记, / 海街diary,8.8,剧情家庭
,日本,2010,导演:藤森雅也MasayaFujimori,你看起来好像很好吃, / おまえうまそうだな,8.9,剧情动画儿童
,美国,2012,导演:瑞奇·莫尔RichMoore,无敌破坏王, / Wreck-It Ralph,8.7,喜剧动画奇幻冒险
,美国,1988,导演:巴瑞·莱文森BarryLevinson,雨人, / Rain Man,8.7,剧情
,美国,1960,导演:阿尔弗雷德·希区柯克AlfredHitchcock,惊魂记, / Psycho,9.0,悬疑惊悚恐怖
,美国,2002,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge,冰川时代, / Ice Age,8.6,喜剧动画冒险
,美国,2004,导演:尼克·卡索维茨NickCassavetes,恋恋笔记本, / The Notebook,8.5,剧情爱情
,日本,2018,导演:是枝裕和HirokazuKoreeda,小偷家族, / 万引き家族,8.7,剧情犯罪家庭
,美国,1999,导演:FrankDarabont,绿里奇迹, / The Green Mile,8.8,犯罪剧情奇幻悬疑
,英国 澳大利亚,2009,导演:克里斯托弗·史密斯ChristopherSmith,恐怖游轮, / Triangle,8.5,剧情悬疑惊悚
,中国大陆 中国香港,2006,导演:宁浩HaoNing,疯狂的石头, / Crazy Stone,8.5,喜剧犯罪
,美国,2016,导演:肯尼斯·罗纳根KennethLonergan,海边的曼彻斯特, / Manchester by the Sea,8.6,剧情家庭
,中国大陆,2015,导演:郭柯KeGuo,二十二, / Twenty Two  /  22,8.7,纪录片
,美国 中国香港,2017,导演:斯蒂芬·卓博斯基StephenChbosky,奇迹男孩, / Wonder,8.6,剧情儿童家庭
,美国 希腊,2013,导演:理查德·林克莱特RichardLinklater,爱在午夜降临前, / Before Midnight,8.8,剧情爱情
,爱尔兰 加拿大 英国 美国,2015,导演:伦尼·阿伯拉罕森LennyAbrahamson,房间, / Room,8.8,剧情家庭
,日本,1989,导演:宫崎骏HayaoMiyazaki,魔女宅急便, / 魔女の宅急便,8.6,动画奇幻冒险
,美国,1952,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly,雨中曲, / Singin' in the Rain,9.0,喜剧歌舞爱情
,法国 英国,1966,导演:杰拉尔·乌里GérardOury,虎口脱险, / La grande vadrouille,8.9,喜剧战争
,美国,2001,导演:史蒂文·斯皮尔伯格StevenSpielberg,人工智能, / Artificial Intelligence: AI,8.6,剧情科幻
,日本,1950,导演:黑泽明AkiraKurosawa,罗生门, / 羅生門,8.8,剧情犯罪悬疑
,美国 法国,1991,导演:詹姆斯·卡梅隆JamesCameron,终结者2：审判日, / Terminator 2: Judgment Day,8.7,动作科幻
,中国大陆 中国香港,2004,导演:陆川ChuanLu,可可西里, / Kekexili: Mountain Patrol,8.8,剧情犯罪
,泰国,2010,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,初恋这件小事, / สิ่งเล็กเล็กที่เรียกว่า...รัก,8.4,剧情喜剧爱情
,英国 美国,1968,导演:斯坦利·库布里克StanleyKubrick,2001太空漫游, / 2001: A Space Odyssey,8.8,科幻惊悚冒险
,英国 美国,2005,导演:迈克·内威尔MikeNewell,哈利·波特与火焰杯, / Harry Potter and the Goblet of Fire,8.6,悬疑奇幻冒险
,美国,1931,导演:CharlesChaplin,城市之光, / City Lights,9.3,喜剧剧情爱情
,美国,1940,导演:茂文·勒鲁瓦MervynLeRoy,魂断蓝桥, / Waterloo Bridge,8.8,剧情爱情战争
,中国台湾 中国大陆 美国 中国香港,2007,导演:李安AngLee,色，戒, / 色|戒  /  色·戒,8.5,剧情爱情情色
,中国台湾,1991,导演:杨德昌EdwardYang,牯岭街少年杀人事件, / 牯嶺街少年殺人事件,8.8,剧情犯罪
,法国 瑞士 西班牙 美国 阿联酋,2009,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud,海洋, / Océans,9.1,纪录片
